Ireland;2000;30;Lemon Sash [IE/IE 1998];m;Ready About NGA *;Lemon Miss;7;12.50;407 m
Ireland;2000;30;Tullymurry Quest [IE/IE 1998];f;Staplers Jo;Tullymurry Spark;6;12.50;388 m
Ireland;2000;31;Kilderry Tiger [IE/IE 1998];m;Staplers Jo;Draw Drum;3;12.00;317 m
Ireland;2000;31;Dons Express [IE/IE 1997];m;Thorgil Tex *;Dons Pride;9;12.00;279 m
Ireland;2000;31;Moveen Jack [IE/IE 1998];m;Upper Spark;Renville Sally;4;12.00;291 m
Ireland;2000;31;Tullymurry Toff [IE/IE 1998];m;Staplers Jo;Tullymurry Spark;7;12.00;440 m
Ireland;2000;31;Nugget Express [IE/IE 1998];m;Spiral Nikita;Glenlyre;4;12.00;350 m
Ireland;2000;31;Command Pilot [IE/IE 1998];m;Some Picture;Wise Flyer *;3;12.00;480 m
Ireland;2000;31;Stage Socky [IE/IE 1997];m;Upper Spark;On Stage Julie;7;12.00;496 m
Ireland;2000;31;Vintage Drumcrow [IE/UK 1998];m;Vintage Prince;Sara Miss;5;12.00;461 m
Ireland;2000;31;Airmount Petit [IE/IE 1998];m;Mountleader Peer;Airmount Gunnel;6;12.00;480 m
Ireland;2000;31;Yes Sir [IE/UK 1998];m;Westmead Merlin;Ta Failte Romhat;3;12.00;487 m
Ireland;2000;31;Odell Duke [IE/IE 1996];m;Cry Dalcash;Odell Bess;8;12.00;653 m
Ireland;2000;32;Allen Brandy [IE/IE 1998];m;Trade Official;Pauls Turn;5;11.50;489 m
Ireland;2000;33;Home Power* [IE/US 1998];m;Some Picture;Wise Flyer *;3;11.00;480 m
Ireland;2000;33;I'm Nite Owl [IU 1998];m;Thorgil Tex *;Alans Judy;4;11.00;377 m
Ireland;2000;33;Fact File [IE/PK 1998];m;Thorgil Tex *;Lady Be Silent;4;11.00;377 m
Ireland;2000;33;Kegans Glory [IE/IE 1997];m;Staplers Jo;Miss Kegan;6;11.00;487 m
Ireland;2000;33;Vintage Knows [IE/IE 1998];m;Vintage Prince;Sineads Ivy;3;11.00;480 m
Ireland;2000;33;Quanns Bridge [IE/IE 1997];m;Phantom Flash;Quare Lady;4;11.00;503 m
Ireland;2000;33;Miss Allurity [IE/IE 1998];f;Staplers Jo;Tullymurry Spark;4;11.00;442 m
Ireland;2000;33;Bubbly Bouncer [IE/IE 1998];m;Top Honcho *;Ladys Guest;8;11.00;369 m
Ireland;2000;33;Frightful Billy [IE/UK 1997];m;Frightful Flash *;Fearsome Misty;2;11.00;686 m
Ireland;2000;34;Glenske Nijinski [IE/IE 1998];m;Shanless Slippy;Glenske Lady;9;10.50;556 m
Ireland;2000;34;O Rahilly Walk [IE/IE 1998];m;Trade Official;Blissful Mindy;6;10.50;480 m
Ireland;2000;35;Hopes Sword [IE/IE 1998];m;Spiral Nikita;Kerogue Girlie;6;10.00;506 m
Ireland;2000;35;Byerley Bet [IE/IE 1998];m;Trade Official;Little Sting;2;10.00;491 m
Ireland;2000;35;Ruairis Folly [IE/IE 1997];f;Some Gamble;Gypsy Lass;1;10.00;503 m
Ireland;2000;35;Lancer Jo [IE/IE 1998];m;Staplers Jo;Quare Duchess;3;10.00;314 m
Ireland;2000;35;Quarrymount Rory [IE/IE 1998];m;Staplers Jo;Ballinaboola Pol;5;10.00;307 m
Ireland;2000;35;Tall Duke [UK/UK 1998];m;Some Picture;Perfect Rhythm;5;10.00;296 m
Ireland;2000;35;Erry Silver [IE/IE 1998];m;Moaning Lad;Erry Treasure;6;10.00;388 m
Ireland;2000;35;Sparta Icon [IE/IE 1997];m;Boyne Walk;Peppermint Lady;9;10.00;303 m
Ireland;2000;35;Suir Official [IE/IE 1998];m;Trade Official;Ballinderry Ivy;5;10.00;484 m
Ireland;2000;35;Watch the Market [IE/IE 1998];f;Phantom Flash;Oh So Nice;2;10.00;480 m
Ireland;2000;35;Ballinabola Euro [IE/IE 1998];m;Droopys Fintan;Ballinaboola Mag;5;10.00;480 m
Ireland;2000;36;Drumragh Mulder [IE/IE 1998];m;Vintage Prince;Drumragh Lady;6;9.50;294 m
Ireland;2000;36;Unsinkable Girl [IE/IE 1997];f;Michaels Machine;Sparky Rose;2;9.50;480 m
Ireland;2000;37;Always Sorry [IE/IE 1997];f;Boyne Walk;Ta Failte Romhat;2;9.00;480 m
Ireland;2000;37;Fore Noon [IE/IE 1998];m;Polnoon Chief;Lady Contender;1;9.00;503 m
Ireland;2000;37;Autumn Merlin [IE/IE 1998];m;Westmead Merlin;Miss Piggy;1;9.00;480 m
Ireland;2000;37;Rathroon Ranger [IE/IE 1997];m;Come On Ranger;Kilmacsimon Baby;5;9.00;413 m
Ireland;2000;37;Knockeevan Star [IE/IE 1998];m;Slaneyside Hare;Rubys Bridge;1;9.00;343 m
Ireland;2000;37;Santa Paolo [IE/IE 1996];m;Slaneyside Hare;Santa Rita;2;9.00;503 m
Ireland;2000;37;Ballygalda Buddy [IE/IE 1996];m;Polnoon Chief;Bornacurra Slip;8;9.00;460 m
Ireland;2000;38;Cregane Trade [IE/IE 1998];m;Trade Official;Eastpark Mist;4;8.50;391 m
Ireland;2000;38;Deerfield Felix [IE/UK 1998];m;Mustang Jack;Bangor Return;4;8.50;366 m
Ireland;2000;39;Beaufort Eagle [IE/IE 1998];m;Westmead Merlin;Beaufort Lady;4;8.00;480 m
Ireland;2000;39;Bog Dasher [IE/IE 1997];m;Tiger Hope;Brownbog Olive;8;8.00;285 m
Ireland;2000;39;Coarliss Dasher [IE/IE 1998];m;Lissarda Gold;Creamery Fancy;7;8.00;319 m
England;2000;1;Palace Issue [IE/UK 1997];m;Deerpark Jim;Clear Issue;12;63.50;628 m
England;2000;2;El Boss [IE/UK 1997];m;Pepes Dilemma *;Bid You Joy;8;43.00;406 m
England;2000;3;Rapid Ranger [IE/IE 1998];m;Come On Ranger;Rapid Vienna;6;32.00;483 m
England;2000;4;Courts Legal [IE/IE 1997];m;Always Good;Carrowkeal Mandy;4;25.50;466 m
England;2000;5;Smoking Bullet [IE/IE 1997];m;Joyful Tidings;Aggies Vixen;6;24.50;476 m
England;2000;6;Early Flight [UK/UK 1998];f;Frightful Flash *;Westmead Flight;5;23.00;521 m
England;2000;6;Fat Boy Slim [IE/IE 1997];m;Some Picture;Elbony Violet;3;23.00;478 m
England;2000;7;Blue Tex [IE/UK 1997];m;Thorgil Tex *;Dons Pride;7;22.50;492 m
England;2000;8;Rackethall Jet [IE/IE 1997];m;Mountleader Peer;Tracys Lady;5;21.50;484 m
England;2000;8;Reactabond Rebel * [IE/US 1998];m;Some Picture;Droopys Larraine;4;21.50;435 m
England;2000;9;Ragga Juju [IE/IE 1998];f;Justright Melody;Cent Her Forward;2;20.00;480 m
England;2000;9;Sexy Delight [IE/IE 1998];f;Some Picture;Spring Rose;3;20.00;734 m
England;2000;9;Spenwood Wizard [IE/IU 1996];f;Larryandy;Spenwood Magic;5;20.00;838 m
England;2000;10;Wrenbury Rebel [IU/IU 1998];m;Lenson Lad;Wrenbury Silver;6;19.50;484 m
England;2000;11;Ryefield Snowy [IE/IE 1998];f;Some Picture;Faultless Lady;4;18.50;485 m
England;2000;12;After the Tide [IE/IE 1998];f;Shanless Slippy;Come On Dot;4;18.00;477 m
England;2000;12;Solid Magic [IE/IE 1998];m;Iceni Regent *;Clodeen Magic;2;18.00;605 m
England;2000;13;Jicky [IE/AU 1997];m;Mountleader Peer;Firhouse Lady;3;17.50;410 m
England;2000;14;Castlelyons Dani [IE/UK 1998];m;Spiral Nikita;Foxclose Daisy;4;17.00;561 m
England;2000;15;Greenfield Deal [IE/IE 1998];m;Spiral Nikita;Dainty Model;5;16.00;484 m
England;2000;15;Knockeevan Star [IE/IE 1998];m;Slaneyside Hare;Rubys Bridge;2;16.00;480 m
England;2000;16;Farloe Club [IE/IE 1997];m;April Trio;Farloe Dancer;4;15.50;472 m
England;2000;17;Hes Nobodys Fool [IU/IU 1998];m;Toms the Best;Westmead Lynx;1;15.00;480 m
England;2000;17;Lady Jean [IU/IU 1997];f;Jacks Captain;Shades of Sarah;5;15.00;715 m
England;2000;17;El Poker [IE/IE 1997];m;Come On Ranger;Good Customer;4;15.00;737 m
England;2000;17;Westmead Woofa [IE/IE 1998];m;Toms the Best;Celtic Lady;1;15.00;500 m
England;2000;17;Jays Honcho [IE/IE 1998];m;Top Honcho *;Beejays Flyer;3;15.00;535 m
England;2000;18;Droopys Honcho [IE/IE 1998];m;Top Honcho *;Droopys Fergie;3;14.50;525 m
England;2000;18;Harsu Super [UK/UK 1999];m;Ratify;Yes Super;4;14.50;455 m
England;2000;18;Mumble Swerve [IE/UK 1997];m;Druids Wally;Rhincrew Diane;4;14.50;527 m
England;2000;18;Smoking Wardy [IE/IE 1998];m;Green Grass;Meelin Cutie;4;14.50;490 m
England;2000;19;Ruby Willows [IE/IE 1997];f;Some Gamble;Gypsy Lass;4;14.00;566 m
England;2000;19;Secret Crystal [IE/IE 1996];m;Summerhill Gift;Creole Lady;4;14.00;425 m
England;2000;19;Vintage Cleaner [IE/UK 1998];m;Vintage Prince;Treasure Beo;4;14.00;478 m
